OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_4_10m_s
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"13,012.23","-2,477.32","79.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"13,014.91","-2,476.75","79.00","1.89","-12.75","204.80","-11.86","4.04","37.15","-0.02","0.00","0.00","0.00","0.87","-12.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.00","0.00","-1.87","0.00","0.00","0.00","0.00","0.00","0.00","-0.26","0.00","-0.13"
00:00:02,"13,018.05","-2,476.08","79.01","1.88","-12.73","204.45","-11.90","4.35","-7.33","-0.04","-0.00","0.00","0.00","0.91","-10.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.71","0.00","-2.82","0.00","0.00","0.00","0.00","0.00","0.00","-0.26","0.00","-0.17"
00:00:03,"13,021.21","-2,475.40","79.02","1.88","-12.71","203.85","-11.97","4.86","-46.97","0.04","0.00","0.00","0.00","0.93","-8.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.50","0.00","-4.09","0.00","0.00","0.00","0.00","0.00","0.00","-0.26","0.00","-0.21"
00:00:04,"13,024.38","-2,474.71","79.04","1.87","-12.67","203.16","-12.05","5.43","-84.95","-0.00","-0.00","0.00","0.00","0.93","-8.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.70","0.00","-4.51","0.00","0.00","0.00","0.00","0.00","0.00","-0.27","0.00","-0.24"
00:00:05,"13,027.55","-2,474.02","79.06","1.86","-12.65","202.47","-12.14","5.99","-123.43","-0.06","0.00","0.00","0.00","0.94","-7.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.10","0.00","-4.91","0.00","0.00","0.00","0.00","0.00","0.00","-0.27","0.00","-0.27"
00:00:06,"13,030.74","-2,473.32","79.09","1.85","-12.63","201.82","-12.23","6.48","-163.24","0.01","0.00","0.00","0.00","0.90","-5.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.64","0.00","-5.25","0.00","0.00","0.00","0.00","0.00","0.00","-0.27","0.00","-0.29"
00:00:07,"13,033.94","-2,472.61","79.12","1.85","-12.61","201.23","-12.32","6.86","-204.10","0.02","0.00","0.00","0.00","0.89","-4.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.96","0.00","-5.49","0.00","0.00","0.00","0.00","0.00","0.00","-0.27","0.00","-0.31"
00:00:08,"13,037.15","-2,471.90","79.15","1.84","-12.60","200.71","-12.42","7.15","-245.20","-0.03","0.00","0.00","0.00","0.89","-4.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.59","0.00","-5.66","0.00","0.00","0.00","0.00","0.00","0.00","-0.27","0.00","-0.33"
