OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"57.659923","11.769122","247.20","7.90","252.00","7.77","170.24","0.67","-0.66","-0.66","0.00","0.0","104.000000","105.000000","95.000000","95.000000","0.0","0.0"
00:00:01,"57.659900","11.769018","247.79","7.89","252.01","7.77","171.37","0.59","-0.55","-0.61","0.00","1.1","105.000000","105.000000","95.000000","95.000000","0.0","0.0"
00:00:02,"57.659873","11.768895","247.55","7.89","252.03","7.77","170.85","0.62","-0.57","-0.67","0.00","2.1","106.000000","106.000000","95.000000","95.000000","0.0","0.0"
00:00:03,"57.659846","11.768772","247.29","7.88","252.08","7.76","170.32","0.67","-0.59","-0.73","359.00","3.0","107.000000","107.000000","95.000000","95.000000","0.0","0.0"
00:00:04,"57.659818","11.768650","247.04","7.88","252.13","7.75","169.87","0.71","-0.61","-0.80","359.00","3.9","108.000000","107.000000","95.000000","95.000000","0.0","0.0"
00:00:05,"57.659791","11.768527","246.88","7.88","252.21","7.75","169.58","0.74","-0.62","-0.85","359.00","4.7","109.000000","108.000000","95.000000","95.000000","0.0","0.0"
00:00:06,"57.659763","11.768405","246.79","7.87","252.29","7.74","169.42","0.76","-0.62","-0.89","358.00","5.5","109.000000","108.000000","95.000000","95.000000","0.0","0.0"
00:00:07,"57.659735","11.768283","246.78","7.87","252.39","7.74","169.34","0.78","-0.62","-0.92","358.00","6.1","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:08,"57.659707","11.768161","246.81","7.87","252.49","7.74","169.32","0.78","-0.62","-0.95","358.00","6.6","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:09,"57.659679","11.768039","246.91","7.87","252.60","7.74","169.37","0.79","-0.62","-0.95","357.00","6.8","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:10,"57.659651","11.767917","247.01","7.87","252.72","7.74","169.42","0.79","-0.62","-0.96","357.00","6.9","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:11,"57.659623","11.767795","247.12","7.87","252.83","7.74","169.50","0.79","-0.62","-0.96","357.00","6.9","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:12,"57.659596","11.767673","247.24","7.87","252.95","7.74","169.57","0.79","-0.62","-0.96","357.00","6.9","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:13,"57.659569","11.767551","247.36","7.86","253.06","7.73","169.65","0.79","-0.62","-0.95","357.00","6.8","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:14,"57.659541","11.767428","247.47","7.86","253.17","7.73","169.73","0.79","-0.62","-0.95","356.00","6.6","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:15,"57.659514","11.767306","247.58","7.86","253.28","7.73","169.80","0.79","-0.62","-0.95","356.00","6.5","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:16,"57.659487","11.767183","247.71","7.86","253.39","7.73","169.90","0.78","-0.63","-0.93","355.00","5.9","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:17,"57.659460","11.767061","247.81","7.85","253.48","7.73","169.95","0.78","-0.64","-0.92","358.00","5.8","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:18,"57.659434","11.766938","247.85","7.85","253.59","7.73","169.95","0.79","-0.63","-0.95","0.00","6.4","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:19,"57.659407","11.766816","247.88","7.85","253.70","7.72","169.93","0.80","-0.61","-0.99","0.00","7.5","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:20,"57.659380","11.766693","247.96","7.85","253.83","7.72","169.96","0.81","-0.60","-1.01","359.00","8.3","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:21,"57.659354","11.766570","248.04","7.85","253.98","7.72","169.99","0.82","-0.59","-1.04","359.00","9.0","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:22,"57.659328","11.766448","248.18","7.85","254.13","7.72","170.08","0.82","-0.59","-1.04","359.00","9.1","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:23,"57.659301","11.766325","248.31","7.84","254.28","7.72","170.15","0.82","-0.59","-1.05","358.00","9.3","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:24,"57.659275","11.766202","248.44","7.84","254.43","7.72","170.23","0.82","-0.59","-1.06","358.00","9.3","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:25,"57.659249","11.766079","248.56","7.84","254.59","7.71","170.31","0.83","-0.60","-1.06","358.00","9.3","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:26,"57.659224","11.765956","248.69","7.84","254.74","7.71","170.38","0.83","-0.60","-1.06","358.00","9.2","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:27,"57.659198","11.765833","248.81","7.83","254.90","7.71","170.45","0.83","-0.61","-1.06","357.00","9.1","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:28,"57.659173","11.765710","248.94","7.83","255.05","7.71","170.53","0.84","-0.61","-1.06","357.00","9.0","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:29,"57.659147","11.765587","249.06","7.83","255.20","7.70","170.60","0.84","-0.62","-1.06","357.00","8.9","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
00:00:30,"57.659122","11.765463","249.19","7.83","255.35","7.70","170.68","0.84","-0.63","-1.06","357.00","8.8","110.000000","109.000000","95.000000","95.000000","0.0","0.0"
