OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"-1,739.75","-11,850.23","25.00",Off,"25.00","0.0","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","3.00","0.00","0.00","0.00","0.00","0.00","0.31","180.00","0.00","0.00","0.00","0.00","0.00","0.00","0.38","7.83","7.55","0.51","0.51","0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.06","47.0","359.95","-0.0","-0.19"
00:00:01,"-1,736.72","-11,844.57","25.00",On,"25.00","0.0","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","11.00","26.71","6.90","6.76","20.40","19.36","0.31","180.00","15.43","330.00","20.46","323.30","0.30","0.00","0.31","7.83","7.55","0.44","0.44","0.44","356.79","1.60","0.00","0.08","-0.08","0.01","0.05","0.00","0.0","0.70","42.5","359.96","1.4","-0.16"
00:00:02,"-1,733.12","-11,837.92","25.00",On,"25.00","0.0","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","19.00","26.75","6.80","6.74","20.54","19.43","0.31","180.00","15.43","330.00","20.43","323.40","0.30","0.00","0.34","7.83","7.55","0.47","0.47","0.47","356.52","4.26","-0.00","0.24","-0.03","0.04","0.04","0.00","0.0","1.34","33.4","359.99","2.2","-0.10"
00:00:03,"-1,729.47","-11,831.29","25.00",On,"25.00","-0.1","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","26.00","26.79","6.70","6.72","20.68","19.48","0.31","180.00","15.43","330.00","20.40","323.50","0.30","0.00","0.38","7.82","7.54","0.51","0.51","0.52","356.22","5.25","-0.01","0.33","0.01","0.05","0.02","0.00","-0.0","1.80","22.4","0.02","1.5","-0.05"
00:00:04,"-1,725.80","-11,824.67","25.00",On,"25.00","-0.3","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","34.00","26.83","6.65","6.72","20.77","19.52","0.31","180.00","15.43","330.00","20.38","323.50","0.30","0.00","0.42","7.81","7.53","0.55","0.54","0.55","355.94","5.61","-0.01","0.38","0.04","0.04","-0.01","0.00","-0.1","2.09","13.0","0.03","0.1","-0.03"
00:00:05,"-1,722.10","-11,818.09","24.99",On,"25.00","-0.5","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","41.00","26.87","6.64","6.72","20.82","19.57","0.31","180.00","15.43","330.00","20.35","323.60","0.30","0.00","0.44","7.80","7.52","0.57","0.56","0.58","355.73","5.74","-0.02","0.41","0.06","0.03","-0.01","359.99","-0.2","2.24","5.5","0.02","-0.8","-0.03"
00:00:06,"-1,718.39","-11,811.53","24.98",On,"25.00","-0.7","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","49.00","26.91","6.66","6.70","20.84","19.63","0.31","180.00","15.43","330.00","20.33","323.60","0.30","0.00","0.46","7.80","7.52","0.59","0.57","0.61","355.57","5.77","-0.02","0.43","0.06","0.02","-0.02","359.99","-0.3","2.28","0.3","0.01","-1.1","-0.03"
00:00:07,"-1,714.67","-11,804.97","24.97",On,"25.00","-1.0","60.000000","60.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","56.00","26.95","6.69","6.68","20.85","19.68","0.31","180.00","15.43","330.00","20.32","323.70","0.30","0.00","0.47","7.79","7.51","0.60","0.57","0.62","355.47","5.78","-0.02","0.45","0.06","0.02","-0.01","359.97","-0.4","2.26","-2.7","359.99","-0.7","-0.04"
00:00:08,"-1,710.96","-11,798.42","24.95",On,"25.00","-1.1","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","64.00","26.99","6.70","6.67","20.87","19.73","0.31","180.00","15.43","330.00","20.32","323.70","0.30","0.00","0.47","7.79","7.51","0.60","0.57","0.63","355.43","5.79","-0.02","0.46","0.05","0.02","0.01","359.96","-0.4","2.21","-3.9","359.99","-0.0","-0.04"
00:00:09,"-1,707.26","-11,791.86","24.93",On,"25.00","-1.2","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","71.00","27.03","6.71","6.67","20.91","19.77","0.31","180.00","15.43","330.00","20.32","323.70","0.30","0.00","0.47","7.79","7.50","0.60","0.57","0.63","355.41","5.79","-0.02","0.46","0.04","0.02","-0.00","359.94","-0.3","2.15","-3.9","359.99","0.5","-0.04"
00:00:10,"-1,703.56","-11,785.30","24.91",On,"25.00","-1.2","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","-5.0","0.000000","0.0","79.00","27.07","6.70","6.68","20.96","19.79","0.31","180.00","15.43","330.00","20.32","323.70","0.30","0.00","0.47","7.78","7.50","0.60","0.57","0.63","355.42","5.79","-0.02","0.46","0.03","0.02","0.01","359.93","-0.2","2.08","-3.3","0.00","0.6","-0.04"
00:00:11,"-1,699.86","-11,778.74","24.89",On,"25.00","-1.2","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","86.00","27.11","6.68","6.69","21.01","19.82","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.47","7.77","7.49","0.60","0.57","0.63","355.44","5.79","-0.02","0.46","0.02","0.02","-0.01","359.91","-0.1","2.04","-2.5","0.01","0.4","-0.04"
00:00:12,"-1,696.16","-11,772.21","24.87",On,"25.00","-1.1","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","94.00","27.14","6.68","6.70","21.06","19.85","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.46","7.77","7.49","0.59","0.57","0.62","355.46","5.78","-0.02","0.46","0.01","0.02","-0.00","359.90","-0.0","2.00","-1.5","0.01","-0.0","-0.04"
00:00:13,"-1,692.47","-11,765.67","24.85",On,"25.00","-1.1","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","101.00","27.18","6.67","6.70","21.10","19.89","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.46","7.76","7.48","0.59","0.57","0.62","355.47","5.77","-0.02","0.47","0.00","0.02","0.01","359.88","0.0","1.98","-0.8","0.01","-0.3","-0.04"
00:00:14,"-1,688.79","-11,759.14","24.83",On,"25.00","-1.0","60.000000","60.000000","104.000000","106.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","109.00","27.22","6.68","6.69","21.13","19.94","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.46","7.76","7.48","0.59","0.56","0.61","355.49","5.77","-0.02","0.47","0.00","0.02","-0.02","359.87","0.1","1.98","-0.1","0.00","-0.4","-0.04"
00:00:15,"-1,685.12","-11,752.61","24.82",On,"25.00","-1.0","60.000000","60.000000","104.000000","105.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","116.00","27.26","6.69","6.69","21.16","19.98","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.46","7.75","7.47","0.59","0.56","0.61","355.50","5.76","-0.02","0.46","-0.00","0.02","0.01","359.86","0.1","1.98","0.2","0.00","-0.2","-0.04"
00:00:16,"-1,681.47","-11,746.08","24.80",On,"25.00","-0.9","60.000000","60.000000","104.000000","105.000000","95.000000","95.000000","0.00","0.00","1.00","1.00","0.000000","-5.0","0.000000","0.0","124.00","27.30","6.69","6.68","21.20","20.03","0.31","180.00","15.43","330.00","20.31","323.70","0.30","0.00","0.46","7.75","7.47","0.59","0.57","0.61","355.50","5.76","-0.02","0.45","-0.01","0.02","0.01","359.85","0.1","1.98","0.3","0.00","0.0","-0.04"
