OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"57.616524","11.676512","28.83","7.57","25.00","7.83","144.04","0.58","0.51","0.51","0.00","0.0","105.000000","105.000000","95.000000","95.000000","0.0","0.0"
00:00:01,"57.616575","11.676563","28.31","7.56","25.00","7.83","147.73","0.52","0.44","0.44","0.00","0.0","104.000000","105.000000","89.000000","89.000000","-5.0","0.0"
00:00:02,"57.616635","11.676624","28.60","7.55","25.00","7.82","145.66","0.55","0.47","0.47","0.00","0.0","104.000000","104.000000","82.000000","82.000000","-5.0","0.0"
00:00:03,"57.616695","11.676685","28.91","7.53","25.00","7.79","143.69","0.59","0.51","0.52","0.00","-0.1","103.000000","104.000000","75.000000","75.000000","-5.0","0.0"
00:00:04,"57.616754","11.676746","29.18","7.50","25.00","7.76","142.18","0.62","0.54","0.55","0.00","-0.3","103.000000","104.000000","69.000000","69.000000","-5.0","0.0"
00:00:05,"57.616813","11.676808","29.39","7.46","24.99","7.72","141.14","0.64","0.56","0.59","0.00","-0.5","103.000000","104.000000","62.000000","62.000000","-5.0","0.0"
00:00:06,"57.616871","11.676869","29.54","7.42","24.98","7.68","140.45","0.65","0.57","0.61","0.00","-0.8","103.000000","104.000000","55.000000","55.000000","-5.0","0.0"
00:00:07,"57.616930","11.676931","29.63","7.38","24.96","7.63","140.06","0.66","0.57","0.63","0.00","-1.1","103.000000","104.000000","49.000000","49.000000","-5.0","0.0"
00:00:08,"57.616987","11.676992","29.68","7.33","24.94","7.58","139.86","0.67","0.57","0.64","0.00","-1.4","103.000000","105.000000","46.000000","46.000000","-5.0","0.0"
